name,body_part,dificulty,type_of_activity,description,exercise,file
Подъем гимнастической палки перед собой,neck,beginner,warm_up,Подъем гимнастической палки перед собой,Подъем гимнастической палки перед собой,1.txt
Подъем гимнастической палки за спиной,chest,beginner,warm_up,Подъем гимнастической палки за спиной,Подъем гимнастической палки за спиной,2.txt
Опускание гимнастической палки за голову,neck,beginner,warm_up,Опускание гимнастической палки за голову,Опускание гимнастической палки за голову,3.txt
Отжимание стоя,chest,beginner,warm_up,Отжимание стоя,Отжимание стоя,4.txt
Подъем головы,neck,beginner,power,Подъем головы,Подъем головы,1.txt
"""Самолет""",neck,beginner,static,"""Самолет""","""Самолет""",2.txt
"""Факир""",neck,beginner,static,"""Факир""","""Факир""",3.txt
Наклон головы вперед в сторону,neck,beginner,mix,Наклон головы вперед в сторону,Наклон головы вперед в сторону,4.txt
Подъем головы в сторону вверх,neck,beginner,mix,Подъем головы в сторону вверх,Подъем головы в сторону вверх,1.txt
Отжимания от пола,chest,normal,power,Отжимания от пола,Отжимания от пола,2.txt
"""Планка""",back,hardcore,static,"""Планка""","""Планка""",3.txt
Скручивания туловища,back,beginner,power,Скручивания туловища,Скручивания туловища,4.txt
"""Ягодичный мост""",back,normal,power,"""Ягодичный мост""","""Ягодичный мост""",4.txt
Наклон туловища из положения сидя,back,beginner,warm_down,Наклон туловища из положения сидя,Наклон туловища из положения сидя,1.txt
Наклон туловища в сторону из положения сидя,back,beginner,warm_down,Наклон туловища в сторону из положения сидя,Наклон туловища в сторону из положения сидя,2.txt
Растяшивание трапециевидных мышц,neck,beginner,warm_down,Растяшивание трапециевидных мышц,Растяшивание трапециевидных мышц,3.txt
